critic,fresh,imdb,publication,quote,review_date,rtid,title
Joe Brown,rotten,0101761,Washington Post,"You get a buzz, all right, but you're left woozy and hung over, and probably won't remember much of what you've seen.",2000-01-01,16699,The Doors
Hal Hinson,rotten,0101761,Washington Post,"The film is an absurdity -- muddled, self-serious, alienating, a stone drag.",2000-01-01,16699,The Doors
Roger Ebert,rotten,0101761,Chicago Sun-Times,"Watching the movie is like being stuck in a bar with an obnoxious drunk, when you're not drinking.",2000-01-01,16699,The Doors
,fresh,0101761,Entertainment Weekly,,1991-03-01,16699,The Doors
Variety Staff,rotten,0099371,Variety,Days of Thunder zigzags between exploiting Cruise's likable grin and charming vulnerability and portraying him as an emotional loser. It's an uncertain and unsatisfying mix.,2008-05-07,10704,Days of Thunder
Owen Gleiberman,fresh,0099371,Entertainment Weekly,There are plenty of soulless movies around. What's special about Days of Thunder is that it works overtime trying to convince you it's not one of them.,2008-05-07,10704,Days of Thunder
Jonathan Rosenbaum,rotten,0099371,Chicago Reader,"In 1990 the people who brought you Top Gun -- Tom Cruise, director Tony Scott, and producers Don Simpson and Jerry Bruckheimer -- figured out a way to take more of your money, and it involved stock-car racing.",2008-05-07,10704,Days of Thunder
,rotten,0099371,Time Out,"A flashy, pre-packaged racing picture featuring stock cars and stock situations.",2006-01-26,10704,Days of Thunder
Janet Maslin,rotten,0099371,New York Times,It's one thing to market a film solely on the strength of its star. It's quite another to go ahead and make the film that way.,2003-05-20,10704,Days of Thunder
Peter Travers,fresh,0099371,Rolling Stone,Producers Don Simpson and Jerry Bruckheimer have raised formula films to a science.,2001-05-12,10704,Days of Thunder
Desson Thomson,fresh,0099371,Washington Post,"Exactly what it promises to be: Not Much -- but at dizzying speed, stripped down and free of wind-resistant subtlety. There's a certain integrity to that. A certain deafening integrity.",2000-01-01,10704,Days of Thunder
Hal Hinson,fresh,0099371,Washington Post,"The flash is still there, but Towne has added a layer of substance underneath, and in generous enough helpings that you can let the picture vamp you, ravage you, without hating yourself afterward.",2000-01-01,10704,Days of Thunder
Roger Ebert,fresh,0099371,Chicago Sun-Times,An entertainment of great skill but predictable construction.,2000-01-01,10704,Days of Thunder
Elizabeth Weitzman,fresh,0092099,New York Daily News,"There are elements that hold up - especially Cruise's blinding charisma. The aerial scenes are still thrilling, and perfectly suited to a giant screen. Everything else? Well, that depends on how nostalgic you're feeling.",2013-02-07,11271,Top Gun
Gene Siskel,fresh,0092099,Chicago Tribune,The aerial sequences in Top Gun are as thrilling -- while remaining coherent -- as any ever put on film.,2013-02-06,11271,Top Gun
Chris Nashawaty,fresh,0092099,Entertainment Weekly,"Whether you love Top Gun or hate it -- or hate yourself for loving it -- the fact is that when it became the top-grossing film of 1986, Hollywood in its infinite wisdom took all of the worst lessons from its success and overlooked what made it so... fun.",2011-08-25,11271,Top Gun
,rotten,0092099,TIME Magazine,"Top Gun is about the training of the Navy's best fighter pilots and their blooding in cold war incidents, and the only thing Director Tony Scott has not brought up to date is the story.",2011-03-08,11271,Top Gun
Dave Kehr,rotten,0092099,Chicago Reader,"Every moment is hyped for maximum visual and visceral impact, but Scott doesn't display the slightest bit of interest (or belief) in the actual characters and situations.",2011-03-08,11271,Top Gun
Variety Staff,fresh,0092099,Variety,"Set in the world of naval fighter pilots, pic has strong visuals and pretty young people in stylish clothes and a non-stop soundtrack.",2010-07-07,11271,Top Gun
,fresh,0092099,Time Out,"The story is risible, the direction routine, the underlying ethic highly questionable; but the flying stirs the blood like speed.",2006-06-24,11271,Top Gun
Walter Goodman,rotten,0092099,New York Times,"Once 'Top Gun... gets back to earth, the master of the skies is as clunky as a big land-bound bird.",2003-05-21,11271,Top Gun
Roger Ebert,rotten,0092099,Chicago Sun-Times,The dogfights are absolutely the best since Clint Eastwood's electrifying aerial scenes in Firefox. But look out for the scenes where the people talk to one another.,2000-01-01,11271,Top Gun
,none,0368975,Time Out,,2006-02-09,11340,Sleepover
,none,0368975,Denver Post,,2004-09-04,11340,Sleepover
Kris Wilton,rotten,0368975,Village Voice,"Nussbaum's attempt to capture the 'tween zeitgeist fails: The Spice Girls-infused soundtrack is dated, and the feel-good progressiveness forced.",2004-07-13,11340,Sleepover
Richard Roeper,rotten,0368975,Ebert & Roeper,A terrible film.,2004-07-12,11340,Sleepover
Christy Lemire,rotten,0368975,"Journal News (Westchester, NY)",,2004-07-10,11340,Sleepover
,none,0368975,St. Louis Post-Dispatch,,2004-07-09,11340,Sleepover
Robert Denerstein,rotten,0368975,Denver Rocky Mountain News,,2004-07-09,11340,Sleepover
Sara Gebhardt,rotten,0368975,Washington Post,Not overwhelmingly original or funny.,2004-07-09,11340,Sleepover
Ann Hornaday,rotten,0368975,Washington Post,"Just when the big screen could use an injection of frothy, giggly girl power -- all in the name of a covert feminist message, of course -- Sleepover squanders that promise with a blah story and even bigger bummer of a take-home message.",2004-07-09,11340,Sleepover
Geoff Pevere,rotten,0368975,Toronto Star,Fairly standard tween-oriented fare.,2004-07-09,11340,Sleepover
Tom Keogh,fresh,0368975,Seattle Times,"Pleasantly pixilated, if mildly alarming.",2004-07-09,11340,Sleepover
Carla Meyer,rotten,0368975,San Francisco Chronicle,A good-hearted 'tween comedy hampered by uneven direction and a misguided plot twist.,2004-07-09,11340,Sleepover
Jay Boyar,rotten,0368975,Orlando Sentinel,"If the pre-adolescents in your life don't have anything better to do than watch this movie, maybe the time has come to teach them hopscotch.",2004-07-09,11340,Sleepover
Stephen Whitty,rotten,0368975,Newark Star-Ledger,"There's little in the movie to like, either for tween girls or the unlucky parents who accompany them.",2004-07-09,11340,Sleepover
Lou Lumenick,rotten,0368975,New York Post,"If ever a movie could be charged with imperiling the morals of a minor, it's probably Sleepover.",2004-07-09,11340,Sleepover
Elizabeth Weitzman,rotten,0368975,New York Daily News,"A lazy attempt to snare some preadolescent allowance money, Sleepover earns little more than a few bored yawns.",2004-07-09,11340,Sleepover
Connie Ogle,rotten,0368975,Miami Herald,Never comes close to living up to its slight potential.,2004-07-09,11340,Sleepover
Bruce Westbrook,fresh,0368975,Houston Chronicle,"The movie is uneven, but it has scored well during previews, and there's a reason: Sleepover fills a niche-audience void.",2004-07-09,11340,Sleepover
Tom Long,rotten,0368975,Detroit News,The makers of Sleepover have read the 'tweeners film plot handbook and adhere to it closely.,2004-07-09,11340,Sleepover
John Monaghan,rotten,0368975,Detroit Free Press,A waste of a hard-earned allowance.,2004-07-09,11340,Sleepover
Variety Staff,rotten,0113057,Variety,A Single Girl delivers 80 unbroken and ultimately irritating minutes in the life of a pretty hotel waitress (Virginie Ledoyen).,2012-02-07,20119,La fille seule
Jonathan Rosenbaum,fresh,0113057,Chicago Reader,"A stunning demonstration of moral and existential suspense in relation to duration, much like Agnes Varda's 1961 Cleo From 5 to 7.",2012-02-07,20119,La fille seule
James Berardinelli,fresh,0113057,ReelViews,"Even though nothing much happens during the course of the movie (Valerie spends over half the running time wandering around the inside of a hotel), this is a thoroughly engrossing motion picture.",2012-02-07,20119,La fille seule
Stephen Holden,fresh,0113057,New York Times,"Benoit Jacquot's small, dazzling film A Single Girl is so buoyant, sharp-eyed and casually sexy it comes closer than any recent movie to capturing the essence of youth itself.",2004-08-30,20119,La fille seule
Peter Stack,rotten,0113057,San Francisco Chronicle,"A Single Girl shines because of Ledoyen, but sputters in not taking her character anyplace.",2000-01-01,20119,La fille seule
Owen Gleiberman,rotten,0101775,Entertainment Weekly,,2011-09-07,10450,Drop Dead Fred
,none,0101775,Variety,,2008-09-03,10450,Drop Dead Fred
,none,0101775,Time Out,,2006-01-26,10450,Drop Dead Fred
Stephen Holden,none,0101775,New York Times,,2003-05-20,10450,Drop Dead Fred
Hal Hinson,none,0101775,Washington Post,,2000-01-01,10450,Drop Dead Fred
,rotten,0101775,Entertainment Weekly,,1991-04-19,10450,Drop Dead Fred
Variety Staff,fresh,0096754,Variety,"A firstrate underwater suspenser with an otherworldly twist, The Abyss suffers from a payoff unworthy of its buildup.",2008-06-19,12161,The Abyss
Jonathan Rosenbaum,rotten,0096754,Chicago Reader,"The attempt to extract the essences of several genres (cold-war submarine thriller, love story, Disney fantasy, pseudomystical SF in the Spielberg mode) and mix them together ultimately leads to giddy incoherence.",2007-06-06,12161,The Abyss
Geoff Andrew,rotten,0096754,Time Out,"This overlong concoction is scuppered by dire dialogue, histrionic performances and maudlin sentimentality.",2006-02-09,12161,The Abyss
Peter Travers,fresh,0096754,Rolling Stone,Anyone looking for a discouraging word about this stupendously exciting and emotionally engulfing film should read no further. The Abyss confirms James Cameron as a world-class filmmaker.,2001-05-12,12161,The Abyss
Desson Thomson,fresh,0096754,Washington Post,The human stuff is more than worth the descent.,2000-01-01,12161,The Abyss
Rita Kempley,rotten,0096754,Washington Post,I'd sooner believe that Moby Dick could swim up the drainpipe.,2000-01-01,12161,The Abyss
James Berardinelli,fresh,0096754,ReelViews,,1989-08-09,12161,The Abyss
Stanley Kauffmann,fresh,0071853,The New Republic,"Here is Monty Python and the Holy Grail, which is neither as sparkling as it is said to be nor as bad as it seems to be at the start. But it's pretty good.",2013-11-18,11450,Monty Python and the Holy Grail
Richard Schickel,fresh,0071853,TIME Magazine,"Grail is as funny as a movie can get, but it is also a tough-minded picture -- as outraged about the human propensity for violence as it is outrageous in its attack on that propensity.",2011-03-29,11450,Monty Python and the Holy Grail
Dave Kehr,fresh,0071853,Chicago Reader,"Silly, sophomoric, and slapped together -- but would you want it any other way?",2011-03-29,11450,Monty Python and the Holy Grail
Variety Staff,fresh,0071853,Variety,"Monty Python's Flying Circus, the British comedy group which gained fame via BBC-TV, send-up Arthurian legend, performed in whimsical fashion with Graham Chapman an effective straight man as King Arthur.",2008-09-04,11450,Monty Python and the Holy Grail
Derek Adams,fresh,0071853,Time Out,"Python's delightful and, on the whole, consistent reductio ad absurdum of the Grail legend.",2006-06-24,11450,Monty Python and the Holy Grail
Vincent Canby,fresh,0071853,New York Times,A marvelously particular kind of lunatic endeavor.,2005-05-09,11450,Monty Python and the Holy Grail
Bruce Newman,rotten,0071853,San Jose Mercury News,Holy Grail suffers from the same syndrome that afflicts many of these restored classics: It is better remembered than actually seen.,2003-07-19,11450,Monty Python and the Holy Grail
Kevin Thomas,fresh,0071853,Los Angeles Times,"For all its shenanigans, Monty Python and the Holy Grail has a sense of humor that is intellectual, even academic, at heart.",2002-08-15,11450,Monty Python and the Holy Grail
Michael O'Sullivan,fresh,0071853,Washington Post,"Ah, bless the Pythons, back after 26 years to get medieval all over again on the legend of King Arthur and his knights of the round table.",2001-11-16,11450,Monty Python and the Holy Grail
Roger Moore,fresh,0071853,Orlando Sentinel,The funniest movie of 1975 and probably the silliest movie ever made.,2001-10-12,11450,Monty Python and the Holy Grail
Stephen Hunter,fresh,0071853,Washington Post,"Really smart people improvising really silly gags and bits, most of which work, some of which don't.",2001-09-21,11450,Monty Python and the Holy Grail
Liam Lacey,fresh,0071853,Globe and Mail,Has been so quoted and requoted that the scenes and words feel tattooed onto the psychic membrane.,2001-09-21,11450,Monty Python and the Holy Grail
Steven Rea,fresh,0071853,Philadelphia Inquirer,Monty Python and the Holy Grail still stands as a gloriously silly and twisted send-up.,2001-09-20,11450,Monty Python and the Holy Grail
Tom Sime,fresh,0071853,Dallas Morning News,Brimming over with unforgettable gags and baroquely nonsensical insults.,2001-09-06,11450,Monty Python and the Holy Grail
Terry Lawson,fresh,0071853,Detroit Free Press,"The new Holy Grail is no revelation, just hilarious confirmation that the old days were in fact better.",2001-08-03,11450,Monty Python and the Holy Grail
Joe Baltake,fresh,0071853,Sacramento Bee,Still has the power to shock and make one laugh with shame.,2001-08-01,11450,Monty Python and the Holy Grail
Michael Wilmington,fresh,0071853,Chicago Tribune,"An incredibly silly film of great humor, brilliant design and epic insanity.",2001-06-19,11450,Monty Python and the Holy Grail
James Berardinelli,fresh,0071853,ReelViews,Represents one of the best and brightest comedies ever to shine from the silver screen.,2001-02-21,11450,Monty Python and the Holy Grail
Derek Adams,none,0116587,Time Out,,2006-06-24,17479,Hustler White
,none,0116587,Los Angeles Times,,2001-02-14,17479,Hustler White
Stephen Holden,none,0116587,New York Times,,2000-01-01,17479,Hustler White
Peter Stack,none,0116587,San Francisco Chronicle,,2000-01-01,17479,Hustler White
Lisa Schwarzbaum,fresh,0118147,Entertainment Weekly,,2011-09-07,12561,When We Were Kings
,none,0118147,Houston Chronicle,,2008-10-18,12561,When We Were Kings
Richard Corliss,fresh,0118147,TIME Magazine,"If anyone deserves an award, it is Ali; his charisma makes the film.",2008-08-04,12561,When We Were Kings
Todd McCarthy,fresh,0118147,Variety,Enormously entertaining.,2007-03-26,12561,When We Were Kings
Rita Kempley,fresh,0118147,Washington Post,"No comedian was ever funnier, no fighter ever faster than Muhammad Ali, who is caught at the top of his game in Leon Gast's valentine, When We Were Kings.",2007-03-26,12561,When We Were Kings
,fresh,0118147,Time Out,A penetrating emotional analysis of the boxing which is nothing short of inspired.,2006-01-26,12561,When We Were Kings
Lawrence Van Gelder,fresh,0118147,New York Times,"When Muhammad Ali achieved victory in Kinshasa on Oct. 30, 1974, he did far more than win a prize fight.",2003-05-20,12561,When We Were Kings
Edward Guthmann,fresh,0118147,San Francisco Chronicle,By portraying the young Ali as hero -- and moving beyond the media image of the poetry-spouting peacock -- Gast reminds us that Ali didn't follow the path of earlier black superstars or earn his stripes by conforming to white society's expectations.,2002-06-18,12561,When We Were Kings
Desson Thomson,fresh,0118147,Washington Post,"By the time the fighters enter that ring, the excitement factor is almost uncontrollable.",2000-01-01,12561,When We Were Kings
Jonathan Rosenbaum,fresh,0118147,Chicago Reader,"With the odds seemingly stacked against him, and surrounded by press, performers, crooks, and charlatans of every stripe, Ali triumphed, and he did so by staying true to his vision and trusting in his own talents.",2000-01-01,12561,When We Were Kings
Charles Taylor,fresh,0118147,Salon.com,Anyone who sees it and still thinks that the sport is two guys beating each other up just ain't paying attention.,2000-01-01,12561,When We Were Kings
Roger Ebert,fresh,0118147,Chicago Sun-Times,"There is a palpable tension, as the two men step into the ring, that is not lessened because we know the outcome.",2000-01-01,12561,When We Were Kings
James Berardinelli,fresh,0118147,ReelViews,You don't have to be a sports fan to enjoy this.... All you need is an appreciation of recent history and a desire to learn more about an event that had far more importance in the world's eyes than any other heavyweight bout in the history of boxing.,2000-01-01,12561,When We Were Kings
Mike Clark,fresh,0118147,USA Today,Immeasurably enriched by extensive location footage shot by director Leon Gast 22 years ago.,2000-01-01,12561,When We Were Kings
,fresh,0118147,Entertainment Weekly,,1996-10-25,12561,When We Were Kings
Lisa Schwarzbaum,fresh,0108598,Entertainment Weekly,,2011-09-07,528392874,Wallace & Gromit in The Wrong Trousers
R. Emmet Sweeney,rotten,0078875,Time Out New York,Schlondorff has a tendency to sketch the rest of the cast as simple grotesques or symbols of decadence that are unconvincingly humanized in the final third.,2012-09-18,16745,Die Blechtrommel
Geoff Andrew,none,0078875,Time Out,,2006-06-24,16745,Die Blechtrommel
Roger Ebert,rotten,0078875,Chicago Sun-Times,,2004-10-23,16745,Die Blechtrommel
Vincent Canby,none,0078875,New York Times,,2003-05-20,16745,Die Blechtrommel
Toby Zinman,none,0069198,Variety,,2009-02-13,15650,The Ruling Class
Geoff Andrew,none,0069198,Time Out,,2006-06-24,15650,The Ruling Class
Roger Ebert,rotten,0069198,Chicago Sun-Times,,2004-10-23,15650,The Ruling Class
Guy Lodge,fresh,0095765,Time Out,"Returning to cinemas in spiffily remastered form ... the film retains its wide-eyed charm, pitched halfway between unrestrained romanticism and unknowing kitsch.",2013-12-09,14337,Nuovo Cinema Paradiso
Tom Keogh,fresh,0095765,Seattle Times,"The heightened symmetry of this new/old Cinema Paradiso makes the film a fuller experience, like an old friend haunted by the exigencies of time.",2002-07-19,14337,Nuovo Cinema Paradiso
Eric Harrison,fresh,0095765,Houston Chronicle,"In the director's cut, the film is not only a love song to the movies but it also is more fully an example of the kind of lush, all-enveloping movie experience it rhapsodizes.",2002-07-19,14337,Nuovo Cinema Paradiso
Terry Lawson,rotten,0095765,Detroit Free Press,"The film's final hour, where nearly all the previous unseen material resides, is unconvincing soap opera that Tornatore was right to cut.",2002-07-19,14337,Nuovo Cinema Paradiso
,none,0095765,Arizona Republic,,2002-07-19,14337,Nuovo Cinema Paradiso
Ann Hornaday,fresh,0095765,Washington Post,"Still rapturous after all these years, Cinema Paradiso stands as one of the great films about movie love.",2002-07-11,14337,Nuovo Cinema Paradiso
Mick LaSalle,rotten,0095765,San Francisco Chronicle,This director's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera.,2002-06-28,14337,Nuovo Cinema Paradiso
Ty Burr,fresh,0095765,Boston Globe,"Where the original release was an essay in childish delight and adolescent longing, topped off by a muted coda implying that you really can go home again, the reissue is a fully realized epic of the heart.",2002-06-28,14337,Nuovo Cinema Paradiso
Roger Ebert,fresh,0095765,Chicago Sun-Times,"I'm happy to have seen it -- not as an alternate version, but as the ultimate exercise in viewing deleted scenes.",2002-06-28,14337,Nuovo Cinema Paradiso
Carrie Rickey,fresh,0095765,Philadelphia Inquirer,Less front-loaded and more shapely than the two-hour version released here in 1990.,2002-06-27,14337,Nuovo Cinema Paradiso
Chris Vognar,fresh,0095765,Dallas Morning News,"As it turns out, you can go home again.",2002-06-27,14337,Nuovo Cinema Paradiso
Michael Wilmington,fresh,0095765,Chicago Tribune,I don't think most of the people who loved the 1989 Paradiso will prefer this new version. But I do.,2002-06-27,14337,Nuovo Cinema Paradiso
Dan Fienberg,fresh,0095765,L.A. Weekly,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",2002-06-26,14337,Nuovo Cinema Paradiso
Owen Gleiberman,fresh,0095765,Entertainment Weekly,The new version isn't just endless. It heightens the deeply conservative spirit of Giuseppe Tornatore's fable in a surprising new way.,2002-06-15,14337,Nuovo Cinema Paradiso
Stephen Holden,fresh,0095765,New York Times,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original.",2002-06-14,14337,Nuovo Cinema Paradiso
John Hartl,fresh,0095765,Film.com,"Anyone who feels as attached to the history of movies as Tornatore obviously does, there are more than enough irresistible moments.",2000-01-01,14337,Nuovo Cinema Paradiso
James Berardinelli,fresh,0095765,ReelViews,"This film is sometimes funny, sometimes joyful, and sometimes poignant, but it's always warm, wonderful, and satisfying.",2000-01-01,14337,Nuovo Cinema Paradiso
Rita Kempley,fresh,0095765,Washington Post,"It is, in a word, exquisite.",2000-01-01,14337,Nuovo Cinema Paradiso
Desson Thomson,fresh,0095765,Washington Post,"For the most part, this hamfisted movie is very enjoyable.",2000-01-01,14337,Nuovo Cinema Paradiso
Variety Staff,fresh,0097108,Variety,"Albert is one of the ugliest characters ever brought to the screen. Ignorant, over-bearing and violent, it's a gloriously rich performance by Gambon.",2008-10-18,14895,The Cook the Thief His Wife & Her Lover
Geoff Andrew,rotten,0097108,Time Out,"For a Jacobean-style drama about deadly emotions, the film lacks passion; only in the final half-hour, with Michael Nyman's funereal music supplying a welcome gravity, does it at last exert a stately power.",2006-06-24,14895,The Cook the Thief His Wife & Her Lover
Caryn James,fresh,0097108,New York Times,"A work so intelligent and powerful that it evokes our best emotions and least civil impulses, so esthetically brilliant that it expands the boundaries of film itself.",2003-05-20,14895,The Cook the Thief His Wife & Her Lover
Roger Ebert,fresh,0097108,Chicago Sun-Times,It doesn't simply make a show of being uncompromising -- it is uncompromised in every single shot from beginning to end.,2000-01-01,14895,The Cook the Thief His Wife & Her Lover
Hal Hinson,fresh,0097108,Washington Post,"Greenaway, the bemused, coolly ironic truth-teller, has painted a cruel portrait for a cruel time.",2000-01-01,14895,The Cook the Thief His Wife & Her Lover
James Berardinelli,fresh,0097108,ReelViews,"Taboos? If director Peter Greenaway has any, you can't tell by this film.",2000-01-01,14895,The Cook the Thief His Wife & Her Lover
Desson Thomson,fresh,0097108,Washington Post,"Give or take another masterpiece coming down the pike, this intricately assembled, viscerally provocative tract on consumerism gone full and grisly circle, is without a doubt, the most accomplished, astounding film of the year.",2000-01-01,14895,The Cook the Thief His Wife & Her Lover
Owen Gleiberman,rotten,0097108,Entertainment Weekly,It's probably safe to say that the British director Peter Greenaway holds the ugliest view of mankind ever put forth by a maker of feature films.,1989-09-11,14895,The Cook the Thief His Wife & Her Lover
Owen Gleiberman,fresh,0102014,Entertainment Weekly,,2011-09-07,494066260,Hear My Song
,none,0102014,Variety,,2009-03-26,494066260,Hear My Song
Derek Adams,none,0102014,Time Out,,2006-06-24,494066260,Hear My Song
Janet Maslin,none,0102014,New York Times,,2003-05-20,494066260,Hear My Song
Peter Travers,none,0102014,Rolling Stone,,2001-05-12,494066260,Hear My Song
Hal Hinson,none,0102014,Washington Post,,2000-01-01,494066260,Hear My Song
Desson Thomson,none,0102014,Washington Post,,2000-01-01,494066260,Hear My Song
Roger Ebert,fresh,0102014,Chicago Sun-Times,,2000-01-01,494066260,Hear My Song
,fresh,0102014,Entertainment Weekly,,1991-12-27,494066260,Hear My Song
Mark Caro,fresh,0116209,Chicago Tribune,"With its fine acting, sumptuous visuals and levels of intrigue, The English Patient boasts the elements of something greater than a love story. Too bad it devotes them to something less than a great love story.",2013-02-24,14840,The English Patient
Anthony Lane,fresh,0116209,New Yorker,"The triumph of the film lies not just in the force and range of the performances, but in Minghella's creation of an intimate epic: vast landscapes mingle with the minute details of desire, and the combination is transfixing.",2013-02-24,14840,The English Patient
David Ansen,fresh,0116209,Newsweek,"Out of each of these uprooted characters are spun stories of love, loyalty and betrayal.",2008-01-29,14840,The English Patient
Richard Corliss,fresh,0116209,TIME Magazine,"The cast is superb: Binoche, with her thin, seraphic smile; Scott Thomas, aware of the spell she casts but not flaunting it; Fiennes, especially, radiating sexy mystery, threat shrouded in hauteur. Doom and drive rarely have so much stately star quality.",2008-01-29,14840,The English Patient
Todd McCarthy,rotten,0116209,Variety,"A respectable, intelligent but less than stirring adaptation of an imposingly dense and layered novel.",2008-01-29,14840,The English Patient
Jeff Millar,fresh,0116209,Houston Chronicle,"This is the real thing, and real things don't come along very often, so you'd better snap them up when they do.",2007-02-10,14840,The English Patient
Jonathan Rosenbaum,rotten,0116209,Chicago Reader,"For all the film's effectiveness as a love story, I often felt I was being hurried through a busy itinerary.",2007-02-05,14840,The English Patient
Rita Kempley,fresh,0116209,Washington Post,The result is completely intoxicating.,2007-02-05,14840,The English Patient
Geoff Andrew,fresh,0116209,Time Out,"Needless to say, the performances are flawless; more surprising is the fluency, poetry and scale of Minghella's direction.",2006-01-26,14840,The English Patient
Peter Stack,fresh,0116209,San Francisco Chronicle,"Torrid, witty, passionate and intelligent.",2002-06-18,14840,The English Patient
Peter Travers,fresh,0116209,Rolling Stone,Get ready for the great romance of the movie year.,2001-05-12,14840,The English Patient
Kenneth Turan,fresh,0116209,Los Angeles Times,The English Patient captivates as only the grandest and most consuming passions can.,2001-02-14,14840,The English Patient
Susan Stark,fresh,0116209,Detroit News,,2000-01-01,14840,The English Patient
Janet Maslin,fresh,0116209,New York Times,A stunning feat of literary adaptation as well as a purely cinematic triumph.,2000-01-01,14840,The English Patient
Gary Kamiya,fresh,0116209,Salon.com,"The English Patient, the superb new film by Anthony Minghella, is that rarest of things: a film based on a great contemporary novel.",2000-01-01,14840,The English Patient
Desson Thomson,fresh,0116209,Washington Post,This is a movie to lose yourself in.,2000-01-01,14840,The English Patient
Roger Ebert,fresh,0116209,Chicago Sun-Times,"This poetic, evocative film version of the famous novel by Michael Ondaatje circles down through layers of mystery until all of the puzzles in the story have been solved, and only the great wound of a doomed love remains.",2000-01-01,14840,The English Patient
James Berardinelli,fresh,0116209,ReelViews,"This is one of the year's most unabashed and powerful love stories, using flawless performances, intelligent dialogue, crisp camera work, and loaded glances to attain a level of eroticism and emotional connection that many similar films miss.",2000-01-01,14840,The English Patient
Mike Clark,fresh,0116209,USA Today,An aerobic workout for the tear ducts.,2000-01-01,14840,The English Patient
Owen Gleiberman,fresh,0116209,Entertainment Weekly,"An elegant, accomplished piece of high modernist filmmaking.",1996-11-15,14840,The English Patient
Owen Gleiberman,fresh,0102370,Entertainment Weekly,,2012-04-13,13441,Madonna: Truth or Dare
Geoff Andrew,none,0102370,Time Out,,2006-02-09,13441,Madonna: Truth or Dare
Janet Maslin,none,0102370,New York Times,,2004-08-30,13441,Madonna: Truth or Dare
,none,0102370,Rolling Stone,,2001-06-06,13441,Madonna: Truth or Dare
Desson Thomson,none,0102370,Washington Post,,2000-01-01,13441,Madonna: Truth or Dare
Hal Hinson,none,0102370,Washington Post,,2000-01-01,13441,Madonna: Truth or Dare
Roger Ebert,fresh,0102370,Chicago Sun-Times,,2000-01-01,13441,Madonna: Truth or Dare
,fresh,0102370,Entertainment Weekly,,1991-05-10,13441,Madonna: Truth or Dare
Owen Gleiberman,fresh,0100332,Entertainment Weekly,,2011-09-07,13346,Paris Is Burning
Derek Adams,none,0100332,Time Out,,2006-06-24,13346,Paris Is Burning
Vincent Canby,none,0100332,New York Times,,2003-05-20,13346,Paris Is Burning
Roger Ebert,fresh,0100332,Chicago Sun-Times,,2000-01-01,13346,Paris Is Burning
Joe Brown,none,0100332,Washington Post,,2000-01-01,13346,Paris Is Burning
Hal Hinson,none,0100332,Washington Post,,2000-01-01,13346,Paris Is Burning
Desson Thomson,none,0100332,Washington Post,,2000-01-01,13346,Paris Is Burning
,fresh,0100332,Entertainment Weekly,,1990-01-01,13346,Paris Is Burning
,rotten,0060196,TIME Magazine,"All three arrive at the cache at the same time. Who gets it? Director Leone doesn't seem to care very much, and after 161 minutes of mayhem, audiences aren't likely to either.",2008-08-11,13308,"Il buono, il brutto, il cattivo."
Variety Staff,rotten,0060196,Variety,"The third in the Clint Eastwood series of Italo westerns, The Good, the Bad and the Ugly is exactly that -- a curious amalgam of the visually striking, the dramatically feeble and the offensively sadistic.",2008-07-22,13308,"Il buono, il brutto, il cattivo."
Dave Kehr,fresh,0060196,Chicago Reader,"Though ordained from the beginning, the three-way showdown that climaxes the film is tense and thoroughly astonishing.",2007-03-28,13308,"Il buono, il brutto, il cattivo."
Tom Huddlestone,fresh,0060196,Time Out,"Sergio Leone's grandiose 1966 western epic is nothing less than a masterclass in movie storytelling, a dynamic testament to the sheer, invigorating uniqueness of cinema.",2006-06-24,13308,"Il buono, il brutto, il cattivo."
Glenn Abel,fresh,0060196,Hollywood Reporter,"Sergio Leone's epic looks good, almost great, restored to its original running time.",2004-06-08,13308,"Il buono, il brutto, il cattivo."
John Monaghan,fresh,0060196,Detroit Free Press,"Of all the great films of the 1960s, The Good, the Bad and the Ugly is one of a fistful that can be truly appreciated only on the big screen.",2003-09-11,13308,"Il buono, il brutto, il cattivo."
Colin Covert,fresh,0060196,Minneapolis Star Tribune,Leone's blockbuster is balanced on the razor's edge between popular entertainment and art film. It took classic American themes and turned them inside out.,2003-09-11,13308,"Il buono, il brutto, il cattivo."
Stephen Hunter,fresh,0060196,Washington Post,"This is a great movie, whatever strange estuary of the western river it occupies.",2003-08-22,13308,"Il buono, il brutto, il cattivo."
Michael Wilmington,fresh,0060196,Chicago Tribune,"An improbable masterpiece -- a bizarre mixture of grandly operatic visuals, grim brutality and sordid violence that keeps wrenching you from one extreme to the other.",2003-08-07,13308,"Il buono, il brutto, il cattivo."
Roger Ebert,fresh,0060196,Chicago Sun-Times,"Art it is, summoned out of the imagination of Leone and painted on the wide screen so vividly that we forget what marginal productions these films were.",2003-08-05,13308,"Il buono, il brutto, il cattivo."
Ty Burr,fresh,0060196,Boston Globe,"The uncut new print reclaims the widescreen majesty of Tonino Delli Colli's cinematography, allowing you to see every iconic wart and furrow on every bad guy's face.",2003-08-01,13308,"Il buono, il brutto, il cattivo."
Stephen Whitty,fresh,0060196,Newark Star-Ledger,"It's great to see a great director's film as he intended it, with rich color and restored sound.",2003-06-03,13308,"Il buono, il brutto, il cattivo."
